Date,Period,Volume,total,price
29/07/2015,Q4 '15 Baseload,5,11045,34.9
20/03/2014,Year 2015 Baseload,5,43800,35
13/07/2015,Day-ahead Baseload,25,600,46
2/12/2014,January '15 Baseload,25,18600,38.75
21/10/2015,Day-ahead Baseload,10,240,36
12/08/2013,September '13 Baseload,5,3600,36.5
31/07/2013,Day-ahead Baseload,4,96,38.5
23/09/2015,Q4 '15 Baseload,5,11045,34.75
16/06/2016,Year 2017 Baseload,5,43800,29.75
13/07/2016,Year 2017 Baseload,10,87600,29.9
12/11/2013,Day-ahead Baseload,5,120,50
8/11/2013,December '13 Baseload,10,7440,38.2
7/08/2014,Year 2015 Baseload,10,87600,36.2
4/04/2014,Day-ahead Baseload,10,240,36.5
23/09/2015,Day-ahead Baseload,15,360,37.25
22/05/2014,Day-ahead Baseload,10,240,39.2
23/12/2015,Week 53 '15 Baseload,5,840,26.75
9/01/2015,Sunday Baseload,10,240,6.5
10/12/2015,Week 52 '15 Baseload,15,2520,24
13/10/2015,Year 2016 Baseload,5,43920,32.3
28/01/2015,Day-ahead Baseload,10,240,33.5
9/06/2014,Day-ahead Baseload,5,120,36.25
3/12/2013,Day-ahead Baseload,25,600,43.5
17/12/2014,Day-ahead Baseload,20,480,38
28/08/2013,Day-ahead Baseload,10,240,51.5
2/08/2013,Year 2015 Baseload,5,43800,35.3
10/04/2014,Day-ahead Baseload,10,240,39.2
13/01/2015,Day-ahead Baseload,10,240,32.3
12/08/2015,September '15 Baseload,5,3600,33.9
13/11/2013,Day-ahead Baseload,10,240,47.75
15/12/2015,Thursday Baseload,30,720,39
7/01/2016,Year 2017 Baseload,10,87600,28.5
18/04/2016,Day-ahead Baseload,10,240,24
7/08/2013,Day-ahead Baseload,10,240,48
13/01/2016,February '16 Baseload,73,50808,33.75
14/10/2015,Day-ahead Baseload,50,1200,48.25
19/11/2015,Day-ahead Baseload,10,240,39.75
11/12/2014,Day-ahead Baseload,10,240,37
16/04/2014,Day-ahead Baseload,5,120,37.85
20/11/2014,Q1 '15 Baseload,25,53975,38
7/05/2014,Year 2016 Baseload,2,17568,34
30/01/2015,February '15 Baseload,10,6720,37
21/10/2014,November '14 Baseload,25,18000,35.9
31/07/2015,Day-ahead Baseload,15,360,36
9/02/2016,Day-ahead Baseload,15,360,28
3/10/2013,Day-ahead Baseload,5,120,37.75
29/10/2015,December '15 Baseload,25,18600,34
12/11/2015,Week 47 '15 Baseload,75,12600,36
