Date,Period,Volume,total,price
12/12/2013,Weekend Baseload,40,1920,35.75
9/08/2013,Saturday Baseload,10,240,32
12/11/2015,Week 47 '15 Baseload,10,1680,36
14/06/2016,July '16 Baseload,55,40920,30.5
27/09/2013,November '13 Baseload,10,7200,42.75
13/09/2016,Week 38 '16 Baseload,40,6720,32
27/02/2015,March '15 Baseload,15,11145,34.2
18/12/2014,Day-ahead Baseload,10,240,37.5
5/09/2013,Year 2014 Baseload,5,43800,37.7
4/09/2015,Weekend Baseload,20,960,22
15/04/2014,Day-ahead Baseload,5,120,39.5
26/05/2015,June '15 Baseload,5,3600,30.05
11/02/2016,Year 2017 Baseload,5,43800,24.6
19/12/2013,Weekend Baseload,30,1440,20.5
4/06/2014,Day-ahead Baseload,5,120,34.15
19/06/2014,Day-ahead Baseload,25,600,28.25
1/04/2015,03/04/2015 Baseload,10,240,31
22/10/2013,Day-ahead Baseload,5,120,33.5
11/12/2014,Weekend Baseload,10,480,32
8/01/2015,Day-ahead Baseload,10,240,33
13/11/2015,Weekend Baseload,10,480,21.5
25/09/2013,October '13 Baseload,10,7450,41.25
1/07/2014,Day-ahead Baseload,5,120,36.1
13/10/2015,Thursday Baseload,10,240,48.25
23/12/2015,Week 53 '15 Baseload,10,1680,28
18/08/2014,Day-ahead Baseload,3,72,33.5
28/07/2015,Day-ahead Baseload,25,600,28.75
9/11/2015,Wednesday Baseload,10,240,40
13/01/2015,Day-ahead Baseload,63,1512,33
20/07/2016,August '16 Baseload,7,5208,31.9
15/01/2015,Weekend Baseload,10,480,31.5
29/01/2015,Day-ahead Baseload,10,240,39
27/12/2013,Day-ahead Baseload,10,240,27.5
24/03/2015,April '15 Baseload,10,7200,33.25
5/12/2013,Day-ahead Baseload,10,240,25.8
3/03/2015,Q4 '15 Baseload,25,55225,37.5
29/07/2015,Q4 '15 Baseload,5,11045,34.9
26/09/2014,Saturday Baseload,5,120,32.05
22/10/2015,Year 2016 Baseload,20,175680,32
3/02/2015,March '15 Baseload,10,7430,33
5/11/2015,Day-ahead Baseload,10,240,37.8
28/04/2016,Q3 '16 Baseload,10,22080,29
18/11/2015,Day-ahead Baseload,10,240,35.5
23/12/2014,Weekend Baseload,15,720,27
19/09/2014,October '14 Baseload,5,3725,35.4
21/01/2016,Year 2017 Baseload,5,43800,26.15
3/03/2016,Q3 '16 Baseload,10,22080,26.5
8/09/2014,Day-ahead Baseload,10,240,36.75
23/10/2014,Day-ahead Baseload,10,240,38
30/07/2014,Week 32 '14 Baseload,5,840,31.75
9/02/2015,March '15 Baseload,10,7430,33.25
29/10/2015,November '15 Baseload,10,7200,38.75
4/08/2016,Q4 '16 Baseload,5,11045,33.3
30/10/2013,Day-ahead Baseload,10,240,36
23/04/2014,Year 2015 Baseload,25,219000,35.05
7/02/2014,Day-ahead Baseload,10,240,37.5
21/01/2014,Day-ahead Baseload,5,120,47.5
9/10/2015,Year 2018 Baseload,5,43800,30.3
18/09/2015,October '15 Baseload,10,7450,36
21/10/2015,Day-ahead Baseload,10,240,36
21/10/2013,Weekend Baseload,5,245,24
25/01/2016,Year 2017 Baseload,15,131400,26.45
14/08/2014,Week 34 '14 Baseload,15,2520,29
14/01/2016,March '16 Baseload,10,7430,30
8/01/2014,Day-ahead Baseload,5,120,30.85
6/07/2015,August '15 Baseload,10,7440,31.3
10/02/2016,Year 2017 Baseload,10,87600,25
8/07/2014,Day-ahead Baseload,5,120,33.9
9/10/2015,Day-ahead Baseload,10,240,43.25
19/10/2015,Week 44 '15 Baseload,10,1680,36
17/12/2015,Day-ahead Baseload,55,1320,37.5
8/01/2015,Day-ahead Baseload,5,120,35
11/09/2015,Week 38 '15 Baseload,25,4200,33.25
24/07/2014,Day-ahead Baseload,5,120,35.4
27/11/2015,December '15 Baseload,25,18600,32.5
24/09/2014,Week 40 '14 Baseload,5,840,36.4
16/10/2013,Friday Baseload,10,240,40
28/03/2014,Day-ahead Peaks,10,120,36
9/11/2015,Wednesday Baseload,70,1680,40
7/08/2013,Day-ahead Baseload,10,240,48
30/10/2015,Sunday Baseload,10,240,31.5
17/12/2013,Day-ahead Baseload,10,240,50.5
12/09/2014,Week 39 '14 Baseload,10,1680,35.75
4/02/2015,Week 7 '15 Baseload,25,4200,37.4
31/12/2013,Day-ahead Baseload,10,240,28.75
4/11/2015,Year 2016 Baseload,10,87840,32.85
11/07/2016,August '16 Baseload,25,18600,31.45
25/09/2015,Day-ahead Baseload,10,240,38.5
15/09/2014,Week 39 '14 Baseload,10,1680,36.5
15/12/2014,Day-ahead Baseload,15,360,47.2
9/02/2016,Day-ahead Baseload,10,240,28
22/12/2014,Wednesday Baseload,10,240,8
23/10/2013,Day-ahead Baseload,5,120,41.25
20/02/2015,Day-ahead Baseload,5,120,30
4/03/2015,Week 11 '15 Peaks,10,600,42.5
25/10/2013,Day-ahead Baseload,5,120,25
21/01/2016,Q2 '16 Baseload,10,21840,28.5
15/01/2015,February '15 Baseload,10,6720,37.45
